Run	BioSample	Sample	SampleName	LibraryName	LibraryStrategy	LibrarySource	LibraryLayout	spots	bases	avgLength	size_MB	ScientificName	Disease	Body_Site	CenterName	exclude_reasons
SRR27343439	SAMN39105963	SRS19982561	20210429MCX007	20210429MCX007 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	434855	21742750	50	10.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343899	SAMN39106205	SRS19982692	20210429MCX009	20210429MCX009 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	365559	17704872	48	8.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343897	SAMN39106206	SRS19982693	20210430MCX009	20210430MCX009 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	369101	18455050	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343393	SAMN39106176	SRS19982606	20210430MCX011	20210430MCX011 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	514595	25729750	50	11.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343352	SAMN39106300	SRS19982646	20210507MCX008	20210507MCX008 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	667595	33379750	50	15.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343605	SAMN39106163	SRS19982681	20210507MCX009	20210507MCX009 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	372708	17805543	47	8.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343443	SAMN39105959	SRS19982558	20210507MCX013	20210507MCX013 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	264079	12994029	49	6.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343951	SAMN39106043	SRS19982802	20210514MCX011	20210514MCX011 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	350243	17040776	48	8.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343922	SAMN39106126	SRS19982487	20210515MCX006	20210515MCX006 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	2673724	133686200	50	58.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343907	SAMN39106140	SRS19982502	20210517MCX004	20210517MCX004 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	622895	30709441	49	14.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343929	SAMN39106120	SRS19982479	20210517MCX007	20210517MCX007 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	662324	32033760	48	15.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343438	SAMN39105964	SRS19982562	20210517MCX008	20210517MCX008 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	444234	21585316	48	10.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343896	SAMN39106207	SRS19982694	20210524MCX007	20210524MCX007 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	711850	35592500	50	16.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343931	SAMN39106118	SRS19982477	20210525MCX011	20210525MCX011 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	319820	15991000	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
