run_accession	ngdc_biosample	submitted_sample_name	subject_id	group_raw	mapping_status	biological_grouping_eligible
DRR770749	SAMC5008598	BALF_136	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770762	SAMC5008611	BALF_149	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770765	SAMC5008614	BALF_152	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770752	SAMC5008601	BALF_139	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770769	SAMC5008618	BALF_156	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770756	SAMC5008605	BALF_143	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770774	SAMC5008623	BALF_161	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770759	SAMC5008608	BALF_146	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770775	SAMC5008624	BALF_162	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770764	SAMC5008613	BALF_151	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770778	SAMC5008627	BALF_165	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770779	SAMC5008628	BALF_166	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770766	SAMC5008615	BALF_153	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770781	SAMC5008630	BALF_168	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770767	SAMC5008616	BALF_154	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770782	SAMC5008631	BALF_169	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770770	SAMC5008619	BALF_157	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770784	SAMC5008633	BALF_171	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770772	SAMC5008621	BALF_159	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770790	SAMC5008639	BALF_177	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770777	SAMC5008626	BALF_164	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770792	SAMC5008641	BALF_179	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770780	SAMC5008629	BALF_167	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770798	SAMC5008647	BALF_185	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770786	SAMC5008635	BALF_173	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770800	SAMC5008649	BALF_187	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770802	SAMC5008651	BALF_189	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770788	SAMC5008637	BALF_175	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770805	SAMC5008654	BALF_192	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770789	SAMC5008638	BALF_176	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770806	SAMC5008655	BALF_193	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770791	SAMC5008640	BALF_178	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770809	SAMC5008658	BALF_196	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770799	SAMC5008648	BALF_186	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770811	SAMC5008660	BALF_198	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770813	SAMC5008662	BALF_200	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770814	SAMC5008663	BALF_201	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770816	SAMC5008665	BALF_203	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770817	SAMC5008666	BALF_204	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770818	SAMC5008667	BALF_205	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
