contrast	taxon	prevalence	mean_group	mean_other	mean_delta_group_minus_other	median_group	median_other	p_value	q_value
Acinetobacter_vs_other	Neisseria sicca	5	0.0	0.002936153846153846	-0.002936153846153846	0.0	0.0	0.541802935032798	0.8414068159271376
Haemophilus_vs_other	Neisseria sicca	5	0.0	0.002936153846153846	-0.002936153846153846	0.0	0.0	0.541802935032798	0.8414068159271376
Mycobacteria_vs_other	Neisseria sicca	5	0.0	0.002936153846153846	-0.002936153846153846	0.0	0.0	0.541802935032798	0.8414068159271376
Acinetobacter_vs_other	Salmonella enterica	2	0.0	0.002921153846153846	-0.002921153846153846	0.0	0.0	0.8072032868244086	0.8414068159271376
Haemophilus_vs_other	Salmonella enterica	2	0.0	0.002921153846153846	-0.002921153846153846	0.0	0.0	0.8072032868244086	0.8414068159271376
Mycobacteria_vs_other	Salmonella enterica	2	0.0	0.002921153846153846	-0.002921153846153846	0.0	0.0	0.8072032868244086	0.8414068159271376
Pseudomonas_vs_other	Salmonella enterica	2	0.0	0.002921153846153846	-0.002921153846153846	0.0	0.0	0.8072032868244086	0.8414068159271376
Staphylococcus_vs_other	Salmonella enterica	2	0.0	0.002921153846153846	-0.002921153846153846	0.0	0.0	0.8072032868244086	0.8414068159271376
Streptococcus_vs_other	Salmonella enterica	2	0.0	0.002921153846153846	-0.002921153846153846	0.0	0.0	0.8072032868244086	0.8414068159271376
Acinetobacter_vs_other	Prevotella jejuni	6	0.0	0.0026988461538461537	-0.0026988461538461537	0.0	0.0	0.46410347443092714	0.8414068159271376
Enterobacterales_vs_other	Prevotella jejuni	6	0.0	0.0026988461538461537	-0.0026988461538461537	0.0	0.0	0.46410347443092714	0.8414068159271376
Haemophilus_vs_other	Prevotella jejuni	6	0.0	0.0026988461538461537	-0.0026988461538461537	0.0	0.0	0.46410347443092714	0.8414068159271376
Streptococcus_vs_other	Streptococcus koreensis	2	0.0026825	0.0	0.0026825	0.002205	0.0	0.11268690036881446	0.8414068159271376
Pseudomonas_vs_other	Neisseria sicca	5	0.0002275	0.002901153846153846	-0.002673653846153846	0.0	0.0	0.8072032868244086	0.8414068159271376
Enterobacterales_vs_other	Enterococcus faecium	3	0.0	0.002633076923076923	-0.002633076923076923	0.0	0.0	0.7143252846662898	0.8414068159271376
Haemophilus_vs_other	Enterococcus faecium	3	0.0	0.002633076923076923	-0.002633076923076923	0.0	0.0	0.7143252846662898	0.8414068159271376
Mycobacteria_vs_other	Enterococcus faecium	3	0.0	0.002633076923076923	-0.002633076923076923	0.0	0.0	0.7143252846662898	0.8414068159271376
Pseudomonas_vs_other	Enterococcus faecium	3	0.0	0.002633076923076923	-0.002633076923076923	0.0	0.0	0.7143252846662898	0.8414068159271376
Staphylococcus_vs_other	Porphyromonas endodontalis	3	0.0026275	6.884615384615385e-05	0.0025586538461538464	0.0	0.0	0.541802935032798	0.8414068159271376
Acinetobacter_vs_other	Streptococcus toyakuensis	5	0.0	0.00246	-0.00246	0.0	0.0	0.541802935032798	0.8414068159271376
Enterobacterales_vs_other	Streptococcus toyakuensis	5	0.0	0.00246	-0.00246	0.0	0.0	0.541802935032798	0.8414068159271376
Haemophilus_vs_other	Streptococcus toyakuensis	5	0.0	0.00246	-0.00246	0.0	0.0	0.541802935032798	0.8414068159271376
Mycobacteria_vs_other	Streptococcus toyakuensis	5	0.0	0.00246	-0.00246	0.0	0.0	0.541802935032798	0.8414068159271376
Acinetobacter_vs_other	Moraxella catarrhalis	2	0.0	0.0024596153846153843	-0.0024596153846153843	0.0	0.0	0.8072032868244086	0.8414068159271376
Enterobacterales_vs_other	Moraxella catarrhalis	2	0.0	0.0024596153846153843	-0.0024596153846153843	0.0	0.0	0.8072032868244086	0.8414068159271376
Mycobacteria_vs_other	Moraxella catarrhalis	2	0.0	0.0024596153846153843	-0.0024596153846153843	0.0	0.0	0.8072032868244086	0.8414068159271376
Pseudomonas_vs_other	Moraxella catarrhalis	2	0.0	0.0024596153846153843	-0.0024596153846153843	0.0	0.0	0.8072032868244086	0.8414068159271376
Staphylococcus_vs_other	Moraxella catarrhalis	2	0.0	0.0024596153846153843	-0.0024596153846153843	0.0	0.0	0.8072032868244086	0.8414068159271376
Enterobacterales_vs_other	Tannerella forsythia	4	0.002485	0.00010384615384615386	0.0023811538461538458	0.0	0.0	0.604056766581538	0.8414068159271376
