taxonomic_level	taxon	healthy_control_mean	idiopathic_central_precocious_puberty_mean	mean_delta_g2_minus_g1	healthy_control_detected	idiopathic_central_precocious_puberty_detected	p_value	q_value
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0.00472605	0.00314665	-0.00157940	20	24	0.211821	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	0.00342710	0.00202091	-0.00140618	21	21	0.508996	0.906929
genus	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus	0.00014105	0.00148333	0.00134228	2	5	0.522326	0.906929
genus	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	0.00237780	0.00107022	-0.00130757	20	18	0.414967	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter	0.00114463	0.00239373	0.00124909	17	20	0.321879	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella	0.00121880	0.00024345	-0.00097535	9	7	0.353049	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	0.00100753	0.00005030	-0.00095723	7	3	0.215622	0.906929
genus	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0.00005891	0.00096292	0.00090401	3	7	0.283202	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__	0.00036143	0.00125234	0.00089091	10	15	0.274046	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	0.00708606	0.00792540	0.00083934	20	22	0.717982	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Peptoniphilus	0.00078917	0.00000254	-0.00078663	3	1	0.577381	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014	0.00409445	0.00342124	-0.00067321	4	8	0.391744	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0.00256577	0.00189401	-0.00067176	16	21	0.48288	0.906929
genus	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.00095032	0.00147462	0.00052430	8	11	0.620387	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39	0.00000235	0.00050590	0.00050355	1	5	0.332063	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Anaerococcus	0.00048473	0.00000000	-0.00048473	2	0	0.613123	0.906929
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	0.00000669	0.00047731	0.00047062	2	5	0.470101	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.00015927	0.00060442	0.00044515	8	3	0.274046	0.906929
genus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	0.00004838	0.00049284	0.00044446	2	5	0.48288	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Atopostipes	0.00000000	0.00035406	0.00035406	0	5	0.239458	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus	0.00005532	0.00038492	0.00032959	2	7	0.231315	0.906929
genus	d__Eukaryota;__;__;__;__;__	0.00000000	0.00032754	0.00032754	0	2	0.6424	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella	0.00045726	0.00077108	0.00031382	6	9	0.495846	0.906929
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	0.01551661	0.01582828	0.00031167	19	24	0.605897	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010	0.00001176	0.00030522	0.00029346	1	5	0.342454	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	0.00004873	0.00033855	0.00028982	1	2	0.820413	0.906929
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__	0.00042087	0.00015667	-0.00026421	4	3	0.741248	0.906929
genus	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0.00066923	0.00090350	0.00023427	14	16	0.358424	0.906929
genus	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	0.00041449	0.00018782	-0.00022667	6	6	0.780546	0.906929
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter	0.00003452	0.00025232	0.00021780	1	4	0.48288	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella	0.00043200	0.00021438	-0.00021761	7	6	0.635026	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	0.00173813	0.00195423	0.00021610	11	17	0.22337	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella	0.00020083	0.00000000	-0.00020083	4	0	0.306989	0.906929
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	0.00069445	0.00087271	0.00017826	1	4	0.522326	0.906929
