pathogen_group	UniRef90	spearman_rho	raw_p	BH_q_within_pathogen	matched_species_features
Acinetobacter	UniRef90_A0A150NSH0	-0.04854151482623948	0.7989351341023582	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A150NT54	-0.22064324921017944	0.24132941050406176	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A150NWW3	-0.04854151482623948	0.7989351341023582	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A151K1C1	-0.018159605698924497	0.9241198172792264	0.9621788058930427	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A158LJP3	-0.022064324921017946	0.9078665444636691	0.9534630383835326	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A158LP16	-0.062386811300220106	0.7432850418421031	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A158T0E5	-0.03511615739462898	0.8538386142126284	0.918557764492043	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A158T0E6	0.17467928417489761	0.3558877021101444	0.7039441344917037	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A158T0E7	-0.1639903887090115	0.38652867007110836	0.7492940434496557	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A158T0E8	-0.24287006181170892	0.19594395280876853	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A158T0F0	-0.16438653887087426	0.38536665016709626	0.7492940434496557	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A158T0R6	-0.24261537727863375	0.19642786410846924	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A162V0C4	-0.33580902219786396	0.06964058947117482	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A168USQ4	0.3091613093322019	0.09643177726219333	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A192CAU6	0.25290477804913297	0.1775305704650897	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A192CBF9	-0.04903183315781765	0.7969459892144282	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1A7LC15	-0.000357410901860662	0.9985044193903105	0.9985044193903104	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1A7LMV5	-0.02639456995658109	0.8898848508795635	0.9462499746134335	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1A9A3V3	-0.20934941664231826	0.2668740841358207	0.6095550556798998	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1A9AHF0	-0.3052869561838062	0.10089974141788191	0.3761653954242694	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1A9AM51	0.17514519616876606	0.35458597910280953	0.703088375230816	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1A9ASR8	-0.13197284978290544	0.48694231572548585	0.8769115779484322	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1B7K8K1	-0.28524656487876643	0.12653321265746653	0.4509487622902662	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1C0NYS7	0.17700491769972174	0.3494184281345012	0.6979740947180529	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1C2TVS7	0.30731281121960274	0.09854445177973171	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1C9T7S2	0.18828223932601978	0.3190594434266846	0.6501740295521105	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1D3AM16	0.3091613093322019	0.09643177726219333	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1D7PS40	0.2669859436899145	0.1537973721693331	0.5276483170685677	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1D7PS63	-0.20536854373204877	0.27628191884625797	0.6095550556798998	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1D7PV13	-0.00872753207010208	0.9634918023826515	0.9841728132923802	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1D9MGV9	0.30731281121960274	0.09854445177973171	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1D9N9F5	0.3082370602759023	0.09748379164458855	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1E3M3T4	0.2049530625996778	0.2772759709396825	0.6095550556798998	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A1E8DYA4	-0.24261537727863375	0.19642786410846924	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
