section	metric	group	value1	value2	value3
pcoa_position	SRR27343847	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343861	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343912	Bacterial infection	1.2732308764722817	-4.044520404480308	False
pcoa_position	SRR27344023	Bacterial infection	1.4657191319875853	-10.627738834780278	False
pcoa_position	SRR27344034	Bacterial infection	-5.68282292519314	0.3009696346341885	False
pcoa_position	SRR27343267	Lung cancer	5.990767372776886	-0.25169182238360016	False
pcoa_position	SRR27343288	Lung cancer	6.587976181285805	1.0171528068400746	False
pcoa_position	SRR27343401	Bacterial infection	-9.184392902550773	-7.066300094530478	False
pcoa_position	SRR27343467	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343497	Pulmonary tuberculosis	-3.282303687707384	8.880486590897922	False
pcoa_position	SRR27343523	Bacterial infection	1.2096181701137394	1.6016365642204442	True
pcoa_position	SRR27343624	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343699	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343734	Lung cancer	10.73949711987409	2.2688428252887998	True
pcoa_position	SRR27343806	Fungal infection	-3.4817289106246996	4.329924821339228	False
pcoa_position	SRR27343850	Fungal infection	-5.147687850441786	7.03619564173886	False
pcoa_position	SRR27343854	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343862	Bacterial infection	1.7770967380286038	0.6496764705532696	False
pcoa_position	SRR27343865	Bacterial infection	2.434774499197255	-2.505047560853959	False
pcoa_position	SRR27343867	Bacterial infection	4.428047150109793	-1.3076681738107832	True
pcoa_position	SRR27343868	Bacterial infection	-1.7438120732757483	0.40287962512085485	True
pcoa_position	SRR27343887	Bacterial infection	-11.6169317325687	-10.408474088491008	False
pcoa_position	SRR27343982	Bacterial infection	-10.654652142463593	-9.849296480602344	False
pcoa_position	SRR27344021	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27344046	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343191	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343192	Bacterial infection	3.324810130679805	2.112431295219275	False
pcoa_position	SRR27343289	Lung cancer	10.508457948374074	-0.13192324253239715	False
pcoa_position	SRR27343298	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343299	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343301	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343311	Pulmonary tuberculosis	10.881391138466771	-1.6777352703288044	False
pcoa_position	SRR27343508	Pulmonary tuberculosis	10.283172652904254	2.159226529726665	False
