species	detected_samples	prevalence	mean_relative_abundance	median_relative_abundance	maximum_relative_abundance
Neisseria brasiliensis	4	0.01	1.944525974654766e-06	0.0	0.0003344828779368173
Uruburuella suis	4	0.01	1.600585943063729e-06	0.0	0.0003138485680659082
Neisseria weixii	4	0.01	1.5080451253993698e-06	0.0	0.00027117418421766245
Neisseria animalis	4	0.01	1.4255695926401422e-06	0.0	0.00023067784685297746
Bulleidia sp. zg-1006	4	0.01	1.4221071624340905e-06	0.0	0.000264492461964834
Haemophilus pittmaniae	4	0.01	1.326334290057496e-06	0.0	0.00018454227748238198
Bergeyella cardium	4	0.01	1.2975636906122927e-06	0.0	0.00019549442840879037
Streptococcus pseudoporcinus	4	0.01	1.2888689516405074e-06	0.0	0.00023972766936759842
Candidatus Nanosynbacter lyticus	4	0.01	1.2484436051587535e-06	0.0	0.00031049115100219646
Kingella oralis	4	0.01	1.072443742872867e-06	0.0	0.00020699410066813098
Metamycoplasma orale	4	0.01	8.782592972848366e-07	0.0	0.00020699410066813098
Prevotella bryantii	4	0.01	8.198398167585109e-07	0.0	0.00015091492171288436
Bradyrhizobium quebecense	3	0.0075	0.0011298747660912075	0.0	0.24270495599814731
Bacillus cereus	3	0.0075	0.0006659567861858305	0.0	0.26419547410801053
Corynebacterium resistens	3	0.0075	0.00042396907534664364	0.0	0.16376109516903742
Human betaherpesvirus 7	3	0.0075	0.0003471179456965	0.0	0.13819875776397517
Bradyrhizobium sp. 6(2017)	3	0.0075	0.0003027719161681168	0.0	0.05797101449275363
Lacticaseibacillus paracasei	3	0.0075	0.00027053100998508835	0.0	0.10800499445061043
Candida dubliniensis	3	0.0075	0.00022812171350749847	0.0	0.08528941050946919
Pseudomonas oleovorans	3	0.0075	0.000222762751112408	0.0	0.08696435001800504
Enterococcus casseliflavus	3	0.0075	0.00016175600706594694	0.0	0.045854562297359895
Pseudomonas sp. phDV1	3	0.0075	0.00015248967443985627	0.0	0.058426359380626576
Methylobacterium phyllosphaerae	3	0.0075	0.00013119575140555049	0.0	0.032787568220639086
Bartonella krasnovii	3	0.0075	0.00012481569009886793	0.0	0.03536754507628294
Acidovorax sp. JMULE5	3	0.0075	8.150865610975732e-05	0.0	0.03211009174311926
Cupriavidus sp. USMAA2-4	3	0.0075	6.253269777460908e-05	0.0	0.012993402014122005
Burkholderia cepacia	3	0.0075	6.2037033979804e-05	0.0	0.021904184786483212
Aquabacterium olei	3	0.0075	4.539972979564956e-05	0.0	0.009660656366616678
Ralstonia sp. 56D2	3	0.0075	4.219164441289064e-05	0.0	0.014673913043478261
Pseudomonas chengduensis	3	0.0075	3.755456349156034e-05	0.0	0.014404033129276198
Burkholderia contaminans	3	0.0075	3.629506419618212e-05	0.0	0.012422470948884294
Acinetobacter ursingii	3	0.0075	3.5646395280303935e-05	0.0	0.00980776775205963
Corynebacterium diphtheriae	3	0.0075	3.353614706920173e-05	0.0	0.0076158681307216805
Bradyrhizobium sp. BTAi1	3	0.0075	3.2814546047093394e-05	0.0	0.008709297763828953
